Gene_A,Gene_B
A0A024QYV7,ELF5
A0A024R1L7,PEX1
A0A024R5Q1,PHC3
A0A024R8L2,NEFL
A0A024R8L2,NOTCH2NLC
A0A024R8L2,TEX13A
A0A087WZY1,BDNF
A0A0U1RRH7,HLA-G
A0A384MDV8,LAMP2
A0A384ME25,KRTAP7-1
A0A384NQ31,CDK3
A0A384NQ31,KLF11
A0A4E0W6L3,RHOB
A1BG,ANXA7
A1BG,GDPD1
A1CF,C19ORF54
A1CF,C9ORF24
A1CF,CAVIN2
A1CF,CYSRT1
A1CF,FHL3
A1CF,HSPB2
A1CF,HSPB2-C11ORF52
A1CF,METTL27
A1CF,PLEKHG4
A1CF,Q59GL1
A1CF,REL
A1CF,RIMBP3
A1CF,RIMBP3C
A1CF,SMRP1
A2BHY8,B3KM38
A2M,ABHD17C
A2M,ANXA7
A2M,AP1M2
A2M,ATP1A1
A2M,ATP5IF1
A2M,BRK1
A2M,CLEC2B
A2M,CYFIP1
A2M,CYP2C18
A2M,DAZ3
A2M,EGLN2
A2M,ELAVL3
A2M,FARSA
A2M,FARSLA
A2M,FBXW4
A2M,FOXA2
A2M,FOXR1
A2M,FZD4
A2M,GDPD1
A2M,H2AZ1
A2M,HOXC4
A2M,IFIT5
A2M,LONP1
A2M,LYN
A2M,MGARP
A2M,MLST8
A2M,MNDA
A2M,MTMR14
A2M,OTUD7B
A2M,PRDX2
A2M,RAB38
A2M,RNF112
A2M,STX19
A2M,TGIF1
A2M,TWIST2
A2M,ZNF366
A2ML1,L2HGDH
A2ML1,RASSF9
A2ML1,UGT1A10
A4GALT,CILK1
A4GALT,PTGFRN
A4GNT,CILK1
A4GNT,POMT1
A6NE76,DTL
A6NG51,DDX24
A6NG51,PLEC
A6NLR5,B0V265
A8K008,CD19
A8K008,Q8TCD0
A8K008,S6BGD6
A8K0U2,DMWD
A8K147,FGFR4
A8K251,AARSD1
A8K251,Q96BE0
A8K2I7,MARS1
A8K2I7,MMS19
A8K2I7,MYO1C
A8K2I7,MYO6
A8K2I7,PDXDC1
A8K2I7,TAGLN
A8K2I7,ZFPM1
A8K2U6,COL25A1
A8K2U6,NEFL
A8K379,B7Z3D6
A8K379,GP6
A8K3T2,B7Z2R3
A8K7J6,MRPL20
A8K7J6,MRPL21
A8K7J6,MRPL30
A8K7J6,MRPL38
A8K878,APBB2
A8K940,RASSF5
A8MTJ1,AFG3L2
A8MTJ1,ASRGL1
A8MTJ1,B7Z8L6
A8MTJ1,BBS10
A8MTJ1,C14ORF1
A8MTJ1,GBP2
A8MTJ1,KIFC2
A8MTJ1,MAPK13
A8MTJ1,MASP1
A8MTJ1,NDUFS6
A8MTJ1,PLXNA3
A8MTJ1,Q9H836
A8MTJ1,RPS6KB2
A8MTJ1,SMS
A8MTJ1,VPS33B
AAAS,POPDC2
AAAS,SLC39A4
AAAS,TCTN2
AAAS,TCTN3
AACS,CMTM5
AAGAB,AP1G1
AAGAB,AP1G2
AAGAB,AP1S2
AAGAB,AP1S3
AAGAB,AP2A1
AAGAB,AP2A2
AAGAB,ASAH1
AAGAB,EDRF1
AAGAB,EIF3C
AAGAB,FAM177A1
AAGAB,HEATR1
AAGAB,STXBP3
AAK1,ANLN
AAK1,AP2A1
AAK1,AP2M1
AAK1,ATP13A2
AAK1,CLTB
AAK1,CLTC
AAK1,DVL3
AAK1,EYA4
AAK1,GAK
AAK1,GTSE1
AAK1,LUZP1
AAK1,NUP88
AAK1,PLEC
AAK1,PPIP5K2
AAK1,QSER1
AAK1,SEC24B
AAK1,TCTE1
AAK1,URGCP
AAK1,VIRMA
AAK1,WNK1
AAMDC,ACY3
AAMDC,APP
AAMDC,ARHGAP35
AAMDC,ATXN2L
AAMDC,CDK9
AAMDC,GDAP1
AAMDC,GMIP
AAMDC,GORASP2
AAMDC,HEXIM1
AAMDC,HTT
AAMDC,LSM12
AAMDC,METTL17
AAMDC,NUF2
AAMDC,OCRL
AAMDC,PLEKHG4
AAMDC,PPP1R10
AAMDC,SPC24
AAMDC,SPC25
AAMDC,VAV3
AAMDC,WDR82
AAMP,ACE2
AAMP,AEN
AAMP,ASAH1
AAMP,BHLHE40
AAMP,C8ORF33
AAMP,DKFZP762B153
AAMP,INPP5K
AAMP,MAP1LC3B
AAMP,MMADHC
AAMP,NKAPD1
AAMP,PMFBP1
AAMP,PPP2R2D
AAMP,PSEN2
AAMP,RPL10
AAMP,TCF25
AAMP,TK1
AAMP,UBC
AAMP,VPS52
AAMP,WNK1
AANAT,EIF4E3
AANAT,KRTAP8-1
AANAT,YWHAZ
AAR2,ARF6
AAR2,DDX23
AAR2,ECD
AAR2,FKBPL
AAR2,GHDC
AAR2,GJA5
AAR2,INTU
AAR2,KIF14
AAR2,KLHL36
AAR2,MICA
AAR2,PHB
AAR2,RIOX1
AAR2,SLC7A6OS
AAR2,SNRPD1
AAR2,TTC27
AARS1,AURKB
AARS1,CDKN3
AARS1,CHMP4C
AARS1,CIT
AARS1,KIF14
AARS1,PRC1
AARS1,RAC1
AARS1,UBC
AARS1,VCAM1
AARS1,VIRMA
AARS2,ARHGEF26
AARS2,DHRS4
AARS2,DHRS4L2
AARS2,FGL1
AARS2,FOXL1
AARS2,MEGF10
AARS2,OXLD1
AARS2,RARS2
AARSD1,DNM3
AARSD1,DUB1
AARSD1,G7
AARSD1,Q9H6G9
AARSD1,TLR7
AARSD1,TSSK6
AARSD1,TUBB1
AARSD1,WSB2
AARSD1,ZC3H7B
AASDHPPT,EFHC2
AASDHPPT,HLA-B
AASDHPPT,POTEI
AASDHPPT,SIAH1
AASDHPPT,ULK2
AATF,MPP6
AATF,RTEL1
AATF,RTEL1-TNFRSF6B
AATK,ACTC1
AATK,ATAD3A
AATK,DNAJA1
AATK,P4HA1
AATK,PPP1CC
AATK,SLC25A11
AATK,SLC25A13
AATK,SLC25A22
AATK,SSR4
ABCA1,IKBKG
ABCA1,IMMP1L
ABCA1,SNTB1
