Gene_A,Gene_B
ADNP,ADNP2
ADNP,AHDC1
ADNP2,AHDC1
ALX1,ALX4
ARID3A,ARID3B
AHR,ARNT
AHRR,ARNT
AHR,ARNTL
ATF1,ATF2
ATF2,ATF3
ATF3,ATF4
ATF2,BACH1
ATF4,BATF
ATF2,BATF3
ATF3,BATF3
BACH2,BATF3
BCL11A,BCL11B
BCL11A,BCL6
BCL6,BCL6B
ARNTL,BHLHE40
BCL11A,BPTF
BCL11B,BPTF
ATF2,CEBPA
ATF4,CEBPA
ATF5,CEBPA
BATF,CEBPA
ALX4,CEBPE
CEBPA,CEBPE
ATF2,CEBPG
ATF3,CEBPG
ATF4,CEBPG
ATF5,CEBPG
BATF,CEBPG
BATF3,CEBPG
CEBPA,CEBPG
CEBPE,CEBPG
CENPA,CENPT
CENPS,CENPX
ADNP,CHAMP1
ADNP2,CHAMP1
AHDC1,CHAMP1
ARHGAP35,CHCHD3
ARNTL,CLOCK
ARNTL2,CLOCK
ARNT,CREB1
ATF1,CREB1
ATF6,CREB1
CREB3,CREB3L2
CREB3,CREB3L3
AKAP8L,CREB5
ATF2,CREB5
ATF7,CREB5
BACH1,CREB5
BATF3,CREB5
ATF4,CREBZF
BHLHE40,CREM
CREB1,CREM
ATF2,DDIT3
ATF3,DDIT3
ATF4,DDIT3
BACH1,DDIT3
BATF,DDIT3
BATF3,DDIT3
CEBPA,DDIT3
CEBPE,DDIT3
CEBPG,DDIT3
CREB3,DDIT3
CREBL2,DDIT3
DBP,DDIT3
AKAP8L,DMRT3
ARID2,DPF1
ARID2,DPF3
DPF1,DPF3
ASCL4,DR1
DPF1,DR1
DR1,DRAP1
E2F1,E2F2
E2F1,E2F3
E2F2,E2F3
CEBPA,E2F4
E2F1,E2F4
E2F2,E2F4
E2F3,E2F4
E2F1,E2F5
E2F2,E2F5
E2F3,E2F5
E2F4,E2F5
CBX2,E2F6
E2F1,E2F6
E2F2,E2F6
E2F3,E2F6
E2F4,E2F6
E2F5,E2F6
AR,EGR1
ARID2,EGR1
EGR1,EGR2
ALX4,EMX1
ELK1,EMX1
ARNT,EPAS1
ARNT2,EPAS1
ARNTL,EPAS1
ARNTL2,EPAS1
AR,ERG
AHCTF1,ESR1
AHDC1,ESR1
AHR,ESR1
AKAP8,ESR1
AKAP8L,ESR1
ANKZF1,ESR1
ARID2,ESR1
ARID5A,ESR1
ARNT,ESR1
ASCL4,ESR1
ATF1,ESR1
BAZ2A,ESR1
BBX,ESR1
CEBPZ,ESR1
CENPT,ESR1
CGGBP1,ESR1
CIC,ESR1
CREB3L4,ESR1
CTCF,ESR1
CXXC4,ESR1
DNTTIP1,ESR1
E4F1,ESR1
AKAP8,ESR2
CDC5L,ESR2
DNTTIP1,ESR2
ESR1,ESR2
ESR1,ESRRA
ESRRA,ESRRG
ERG,ETS2
ESR1,ETV6
ETV6,FLI1
ESR1,FLYWCH1
ASCL4,FOS
ATF2,FOS
ATF4,FOS
ATF7,FOS
CEBPG,FOS
CREB5,FOS
DDIT3,FOS
ESR1,FOS
ATF2,FOSB
CREB5,FOSB
FOS,FOSB
ATF4,FOSL1
BATF3,FOSL1
CREB5,FOSL1
ATF2,FOSL2
ATF7,FOSL2
BACH2,FOSL2
CREB5,FOSL2
DDIT3,FOSL2
EGR1,FOSL2
ESR1,FOSL2
ALX4,FOXA1
AR,FOXA1
CREB1,FOXA1
DLX5,FOXA1
ESR1,FOXA1
AKAP8,FOXA3
ALX4,FOXA3
FOXA1,FOXA3
ARID3A,FOXB1
ARID3B,FOXB1
E4F1,FOXB1
CREB1,FOXC1
DACH1,FOXC1
DLX5,FOXC1
AKAP8,FOXC2
CREB1,FOXC2
DACH1,FOXC2
DLX5,FOXC2
EBF3,FOXC2
FOXC1,FOXC2
ARID5A,FOXD2
AKAP8L,FOXD4
FOXC1,FOXD4
FOXD1,FOXD4
FOXD4,FOXD4L1
FOXD2,FOXD4L6
ADNP,FOXE1
AKAP8,FOXE1
ALX4,FOXE1
ARID3B,FOXE1
CDX2,FOXE1
CREB1,FOXE1
CUX1,FOXE1
DACH1,FOXE1
DLX5,FOXE1
ADNP,FOXG1
AKAP8,FOXG1
CUX1,FOXG1
ARID3A,FOXH1
ARID3B,FOXH1
ARID5A,FOXH1
BATF2,FOXH1
CRX,FOXH1
FOXD2,FOXH1
FOXG1,FOXH1
BATF2,FOXI1
DLX5,FOXI2
FOXI1,FOXI2
ADNP,FOXJ2
AKAP8,FOXJ2
BBX,FOXJ2
CUX1,FOXJ2
DLX5,FOXJ2
DNTTIP1,FOXJ2
FOXC1,FOXJ2
ESR1,FOXK1
ADNP,FOXK2
BPTF,FOXK2
CIC,FOXK2
CUX1,FOXK2
DRAP1,FOXK2
ESR1,FOXK2
FOXE1,FOXK2
FOXK1,FOXK2
ARID3A,FOXL1
ARID3B,FOXL1
CENPB,FOXL1
ARNT,FOXN1
CUX1,FOXN1
DMRT3,FOXN1
AR,FOXO1
CUX1,FOXO1
DACH1,FOXO1
DLX5,FOXO1
ESR1,FOXO1
ETS1,FOXO1
ESR1,FOXO3
ESR2,FOXO3
FOXK1,FOXO3
FOXO1,FOXO4
CUX1,FOXP1
FOXP1,FOXP2
AKAP8,FOXP3
CENPB,FOXP3
FOSB,FOXP3
FOXA3,FOXP3
FOXP1,FOXP3
FOXP2,FOXP3
FOXP1,FOXP4
FOXP2,FOXP4
FOXP3,FOXP4
ADNP,FOXQ1
CUX1,FOXQ1
FOXP3,FOXR1
ARNT,FOXR2
FOXN3,FOXR2
ADNP,FOXS1
AKAP8,FOXS1
FOXC1,FOXS1
ESR1,GABPA
FOXJ2,GABPA
BCL6,GATA1
FLI1,GATA1
ESR1,GATA3
ALX4,GATA4
FOXE1,GATA4
ARID5A,GATA5
BCL11A,GATAD2A
BPTF,GATAD2A
BCL11A,GATAD2B
BPTF,GATAD2B
ESR1,GATAD2B
FOXC1,GATAD2B
FOXG1,GATAD2B
FOXJ2,GATAD2B
FOXQ1,GATAD2B
FOXS1,GATAD2B
GATAD2A,GATAD2B
CRX,GCM2
CENPB,GFI1B
ARNT,GLIS1
ARID5A,GLIS2
ARNT,GLIS2
CREM,GLIS2
CRX,GLIS2
FOSB,GLIS2
GLIS1,GLIS2
ESR1,GLYR1
FOXL2,GLYR1
ESR1,GPBP1L1
FOS,GPBP1L1
GRHL1,GRHL3
GRHL2,GRHL3
GCM2,GSC2
ASCL4,GTF2B
CBX2,GTF2B
DRAP1,GTF2B
GTF2I,GTF2IRD2B
GTF2IRD1,GTF2IRD2B
GTF2IRD2,GTF2IRD2B
ESR1,HBP1
DR1,HES4
GTF2B,HES4
FOXH1,HEY1
HES1,HEY1
HEY1,HEY2
FOXA3,HIC2
FOXB1,HIC2
FOXJ2,HIC2
FOXQ1,HIC2
AR,HIF1A
ARNT,HIF1A
ARNT2,HIF1A
ARNTL,HIF1A
ESR1,HIF1A
GLIS2,HIF1A
BHLHE40,HIVEP1
CREB1,HIVEP1
BATF,HLF
BATF3,HLF
DBP,HLF
DDIT3,HLF
FOXH1,HLX
AEBP2,HMBOX1
BAZ2B,HMBOX1
DNTTIP1,HMBOX1
GSC2,HMBOX1
ARNTL,HMG20A
BACH2,HMG20A
CLOCK,HMG20A
ESR1,HMG20A
FOXD4L1,HMG20A
GATAD2A,HMG20A
GATAD2B,HMG20A
ESR1,HMG20B
HMG20A,HMG20B
CREB1,HMGA1
FOXA1,HMGA1
FOXE1,HMGA1
CREB1,HMGA2
E4F1,HMGA2
FOXO1,HNF4A
HIF1A,HNF4A
HLF,HNF4G
CENPS,HOMEZ
DNTTIP1,HOMEZ
EBF1,HOMEZ
ARID5A,HOXA1
BATF2,HOXA1
CREB5,HOXA1
ESR2,HOXA1
FOXH1,HOXA1
FOXN1,HOXA1
GATA1,HOXA1
GCM2,HOXA1
HEY2,HOXA1
EMX1,HOXA10
FOXB1,HOXA10
FOXE1,HOXA10
ALX4,HOXA3
DDIT3,HOXA5
ALX4,HOXB13
ELK1,HOXB13
FOXC2,HOXB13
FOXE1,HOXB13
FOXF1,HOXB13
FOXG1,HOXB13
FOXS1,HOXB13
ALX4,HOXB6
FOXA1,HOXB9
FOXC1,HOXB9
FOXC2,HOXB9
FOXE1,HOXB9
FOXF1,HOXB9
FOXK2,HOXB9
FOXS1,HOXB9
HOXA1,HOXB9
FOXC1,HOXC13
FOXC2,HOXC13
FOXE1,HOXC13
FOXG1,HOXC13
FOXI2,HOXC13
FOXJ2,HOXC13
FOXK2,HOXC13
FOXN1,HOXC13
FOXO1,HOXC13
FOXP1,HOXC13
FOXP3,HOXC13
FOXR1,HOXC13
FOXS1,HOXC13
HOXB5,HOXC4
HESX1,HOXC8
HOXC13,HOXC9
CREB1,HOXD13
FOS,HOXD13
FOXA1,HOXD13
FOXA3,HOXD13
FOXB1,HOXD13
FOXC1,HOXD13
FOXC2,HOXD13
FOXE1,HOXD13
FOXF1,HOXD13
FOXG1,HOXD13
FOXI2,HOXD13
FOXJ2,HOXD13
FOXK2,HOXD13
FOXN1,HOXD13
FOXO1,HOXD13
FOXP1,HOXD13
FOXP3,HOXD13
FOXQ1,HOXD13
FOXR1,HOXD13
FOXS1,HOXD13
ALX4,HOXD3
HOXC8,HOXD3
HOXB13,HOXD4
ETV5,HOXD9
HOXC9,HOXD9
FOXD4L6,HSF2
HSF1,HSF2
AKAP8L,HSF4
FOXH1,HSF4
FOXI1,HSF4
HSF1,HSF4
HSF2,HSF4
GCM2,HSFY1
